simulation_mode,ticks,who,breed,energy,wealth,operational_capacity,operational_cost,production_rate,environmental_concern,economic_priority,innovation_level,cooperation_tendency,byproduct_utilization,capacity_utilization,region_type,resource_type,resource_quality,pollution_level,residue_generated_type,residue_used_type,reputation,network_position
0,1,7,wastefuls,21.82,100,25.2,2,0.95,0.34,0.82,0.28,0.21,0.48,0.9,natural,recycled,0.010824097813370126,24,high-toxicity,none,0.56,0
0,1,1,recyclers,19.85,100,19,1.9,0.83,0.98,0.64,0.7,0.6,1,0.78,industrial,recycled,0.32046481918978287,12,low-toxicity,mixed,1,0
0,1,3,recyclers,19.88,100,19,1.9,0.84,0.82,0.48,0.77,0.58,0.88,0.65,waste-zone,new,0.11631843163772027,7,low-toxicity,mixed,0.82,0
0,1,4,recyclers,19.81,100,17,2.85,0.82,0.71,0.44,0.94,0.91,0.75,0.67,natural,new,0.6143403527775264,16,low-toxicity,mixed,0.03,0
0,2,6,wastefuls,21.75,100,22.05,2,0.93,0.31,0.85,0.37,0.29,0.48,0.84,waste-zone,new,0.33153553454694773,8,high-toxicity,none,0.5,0
0,2,0,recyclers,23.44,100,17,3.8,0.91,0.73,0.63,0.87,0.56,0.96,0.99,natural,waste,low,17,low-toxicity,mixed,0.55,0
0,2,8,wastefuls,28.87,100,21,1,0.96,0.22,0.71,0.24,0.46,0.46,0.84,waste-zone,waste,high,1,high-toxicity,none,0.51,0
0,2,4,recyclers,19.71,100,17,2.85,0.82,0.71,0.44,0.94,0.91,0.75,0.67,natural,new,0.6143403527775264,16,low-toxicity,mixed,0.03,0
0,2,1,recyclers,19.78,100,19,1.9,0.83,0.98,0.64,0.7,0.6,1,0.78,industrial,recycled,0.32046481918978287,12,low-toxicity,mixed,1,0
0,2,3,recyclers,23.81,100,19,1.9,0.84,0.82,0.48,0.77,0.58,0.88,0.65,waste-zone,waste,low,7,low-toxicity,mixed,0.82,0
0,2,5,wastefuls,21.79,100,25.2,2,0.96,0.22,0.99,0.38,0.24,0.31,0.71,natural,recycled,0.4592473750242272,16,high-toxicity,none,0.07,0
0,2,2,recyclers,19.6,100,13,2.85,0.97,0.82,0.5,0.61,0.68,0.86,0.93,industrial,new,0.3046270230007858,5,low-toxicity,mixed,0.41,0
0,2,7,wastefuls,21.73,100,25.2,2,0.95,0.34,0.82,0.28,0.21,0.48,0.9,natural,recycled,0.010824097813370126,24,high-toxicity,none,0.56,0
0,2,9,wastefuls,21.85,100,18.9,1,0.94,0.17,0.94,0.31,0.44,0.28,0.97,natural,recycled,0.007774483173721092,11,high-toxicity,none,0.19,0
0,3,5,wastefuls,21.72,100,25.2,2,0.96,0.22,0.99,0.38,0.24,0.31,0.71,natural,recycled,0.4592473750242272,16,high-toxicity,none,0.07,0
0,3,6,wastefuls,18.66,100,23.15,2,0.95,0.31,0.85,0.37,0.29,0.48,0.84,waste-zone,new,0.33153553454694773,13,high-toxicity,none,0.5,0
0,3,2,recyclers,14.48,100,13,2.71,0.97,0.82,0.5,0.66,0.68,0.91,0.93,industrial,new,0.3046270230007858,5,low-toxicity,mixed,0.43,0
0,3,8,wastefuls,28.83,100,21,1,0.96,0.22,0.71,0.24,0.46,0.46,0.84,waste-zone,waste,high,1,high-toxicity,none,0.51,0
0,3,1,recyclers,14.71,100,19,1.81,0.83,0.98,0.64,0.75,0.6,1,0.78,industrial,recycled,0.32046481918978287,12,low-toxicity,mixed,1.02,0
0,3,9,wastefuls,18.81,100,19.85,1,0.96,0.17,0.94,0.31,0.44,0.28,0.97,natural,recycled,0.007774483173721092,16,high-toxicity,none,0.19,0
0,3,4,recyclers,14.62,100,17,2.71,0.82,0.71,0.44,0.99,0.91,0.8,0.67,natural,new,0.6143403527775264,16,low-toxicity,mixed,0.05,0
0,3,0,recyclers,23.25,100,17,3.8,0.91,0.73,0.63,0.87,0.56,0.96,0.99,natural,waste,low,17,low-toxicity,mixed,0.55,0
0,3,7,wastefuls,18.64,100,26.46,2,0.97,0.34,0.82,0.28,0.21,0.48,0.9,natural,recycled,0.010824097813370126,29,high-toxicity,none,0.56,0
0,3,3,recyclers,23.75,100,19,1.9,0.84,0.82,0.48,0.77,0.58,0.88,0.65,waste-zone,waste,low,7,low-toxicity,mixed,0.82,0
0,4,7,wastefuls,15.55,100,27.78,2,0.99,0.34,0.82,0.28,0.21,0.48,0.9,natural,recycled,0.010824097813370126,34,high-toxicity,none,0.56,0
0,4,0,recyclers,23.06,100,17,3.8,0.91,0.73,0.63,0.87,0.56,0.96,0.99,natural,waste,low,17,low-toxicity,mixed,0.55,0
0,4,5,wastefuls,23.65,100,25.2,2,0.96,0.22,0.99,0.38,0.24,0.31,0.71,natural,waste,0.4592473750242272,16,high-toxicity,none,0.07,0
0,4,9,wastefuls,18.76,100,19.85,1,0.96,0.17,0.94,0.31,0.44,0.28,0.97,natural,recycled,0.007774483173721092,16,high-toxicity,none,0.19,0
0,4,6,wastefuls,18.58,100,23.15,2,0.95,0.31,0.85,0.37,0.29,0.48,0.84,waste-zone,new,0.33153553454694773,13,high-toxicity,none,0.5,0
0,4,4,recyclers,9.53,100,17,2.57,0.82,0.71,0.44,1,0.91,0.85,0.67,natural,new,0.6143403527775264,16,low-toxicity,mixed,0.07,0
0,4,2,recyclers,14.35,100,13,2.71,0.97,0.82,0.5,0.66,0.68,0.91,0.93,industrial,new,0.3046270230007858,5,low-toxicity,mixed,0.43,0
0,4,1,recyclers,14.64,100,19,1.81,0.83,0.98,0.64,0.75,0.6,1,0.78,industrial,recycled,0.32046481918978287,12,low-toxicity,mixed,1.02,0
0,4,3,recyclers,23.69,100,19,1.9,0.84,0.82,0.48,0.77,0.58,0.88,0.65,waste-zone,waste,low,7,low-toxicity,mixed,0.82,0
0,4,8,wastefuls,28.79,100,21,1,0.96,0.22,0.71,0.24,0.46,0.46,0.84,waste-zone,waste,high,1,high-toxicity,none,0.51,0
0,5,0,recyclers,22.88,100,17,3.8,0.91,0.73,0.63,0.87,0.56,0.96,0.99,natural,waste,low,17,low-toxicity,mixed,0.55,0
0,5,9,wastefuls,18.71,100,19.85,1,0.96,0.17,0.94,0.31,0.44,0.28,0.97,natural,recycled,0.007774483173721092,16,high-toxicity,none,0.19,0
0,5,4,recyclers,13.45,100,17,2.57,0.82,0.71,0.44,1,0.91,0.85,0.67,natural,waste,low,16,low-toxicity,mixed,0.07,0
0,5,5,wastefuls,23.58,100,25.2,2,0.96,0.22,0.99,0.38,0.24,0.31,0.71,natural,waste,0.4592473750242272,16,high-toxicity,none,0.07,0
0,5,8,wastefuls,25.75,100,22.05,1,0.98,0.22,0.71,0.24,0.46,0.46,0.84,waste-zone,waste,high,6,high-toxicity,none,0.51,0
0,5,2,recyclers,18.23,100,13,2.71,0.97,0.82,0.5,0.66,0.68,0.91,0.93,industrial,waste,low,5,low-toxicity,mixed,0.43,0
0,5,3,recyclers,23.63,100,19,1.9,0.84,0.82,0.48,0.77,0.58,0.88,0.65,waste-zone,waste,low,7,low-toxicity,mixed,0.82,0
0,5,7,wastefuls,15.46,100,27.78,2,0.99,0.34,0.82,0.28,0.21,0.48,0.9,natural,recycled,0.010824097813370126,34,high-toxicity,none,0.56,0
0,5,6,wastefuls,18.5,100,23.15,2,0.95,0.31,0.85,0.37,0.29,0.48,0.84,waste-zone,new,0.33153553454694773,13,high-toxicity,none,0.5,0
0,5,1,recyclers,9.57,100,19,1.71,0.83,0.98,0.64,0.8,0.6,1,0.78,industrial,recycled,0.32046481918978287,12,low-toxicity,mixed,1.04,0
0,6,8,wastefuls,25.71,100,22.05,1,0.98,0.22,0.71,0.24,0.46,0.46,0.84,waste-zone,waste,high,6,high-toxicity,none,0.51,0
0,6,5,wastefuls,20.5,100,26.46,2,0.98,0.22,0.99,0.38,0.24,0.31,0.71,natural,waste,0.4592473750242272,21,high-toxicity,none,0.07,0
0,6,4,recyclers,13.36,100,17,2.57,0.82,0.71,0.44,1,0.91,0.85,0.67,natural,waste,low,16,low-toxicity,mixed,0.07,0
0,6,0,recyclers,17.7,100,17,3.61,0.91,0.73,0.63,0.92,0.56,1,0.99,natural,waste,low,17,low-toxicity,mixed,0.57,0
0,6,2,recyclers,18.1,100,13,2.71,0.97,0.82,0.5,0.66,0.68,0.91,0.93,industrial,waste,low,5,low-toxicity,mixed,0.43,0
0,6,1,recyclers,9.5,100,19,1.71,0.83,0.98,0.64,0.8,0.6,1,0.78,industrial,recycled,0.32046481918978287,12,low-toxicity,mixed,1.04,0
0,6,3,recyclers,18.57,100,19,1.81,0.84,0.82,0.48,0.82,0.58,0.93,0.65,waste-zone,waste,low,7,low-toxicity,mixed,0.84,0
0,6,6,wastefuls,18.41,100,23.15,2,0.95,0.31,0.85,0.37,0.29,0.48,0.84,waste-zone,new,0.33153553454694773,13,high-toxicity,none,0.5,0
0,6,9,wastefuls,15.66,100,20.84,1,0.98,0.17,0.94,0.31,0.44,0.28,0.97,natural,recycled,0.007774483173721092,21,high-toxicity,none,0.19,0
0,6,7,wastefuls,15.37,100,27.78,2,0.99,0.34,0.82,0.28,0.21,0.48,0.9,natural,recycled,0.010824097813370126,34,high-toxicity,none,0.56,0
0,7,4,recyclers,13.28,100,17,2.57,0.82,0.71,0.44,1,0.91,0.85,0.67,natural,waste,low,16,low-toxicity,mixed,0.07,0
0,7,8,wastefuls,25.66,100,22.05,1,0.98,0.22,0.71,0.24,0.46,0.46,0.84,waste-zone,waste,high,6,high-toxicity,none,0.51,0
0,7,7,wastefuls,12.28,100,29.17,2,1,0.34,0.82,0.28,0.21,0.48,0.9,natural,recycled,0.010824097813370126,39,high-toxicity,none,0.56,0
0,7,1,recyclers,9.44,90,19,1.63,0.83,0.98,0.64,0.85,0.6,1,0.78,industrial,recycled,0.32046481918978287,12,low-toxicity,mixed,1.06,0
0,7,5,wastefuls,20.43,100,26.46,2,0.98,0.22,0.99,0.38,0.24,0.31,0.71,natural,waste,0.4592473750242272,21,high-toxicity,none,0.07,0
0,7,0,recyclers,17.52,100,17,3.61,0.91,0.73,0.63,0.92,0.56,1,0.99,natural,waste,low,17,low-toxicity,mixed,0.57,0
0,7,3,recyclers,18.51,100,19,1.81,0.84,0.82,0.48,0.82,0.58,0.93,0.65,waste-zone,waste,low,7,low-toxicity,mixed,0.84,0
0,7,9,wastefuls,12.61,100,21.88,1,1,0.17,0.94,0.31,0.44,0.28,0.97,natural,recycled,0.007774483173721092,26,high-toxicity,none,0.19,0
0,7,6,wastefuls,15.33,100,24.31,2,0.97,0.31,0.85,0.37,0.29,0.48,0.84,waste-zone,new,0.33153553454694773,18,high-toxicity,none,0.5,0
0,7,2,recyclers,17.98,100,13,2.71,0.97,0.82,0.5,0.66,0.68,0.91,0.93,industrial,waste,low,5,low-toxicity,mixed,0.43,0
0,8,6,wastefuls,15.24,100,24.31,2,0.97,0.31,0.85,0.37,0.29,0.48,0.84,waste-zone,new,0.33153553454694773,18,high-toxicity,none,0.5,0
0,8,8,wastefuls,25.62,100,22.05,1,0.98,0.22,0.71,0.24,0.46,0.46,0.84,waste-zone,waste,high,6,high-toxicity,none,0.51,0
0,8,5,wastefuls,20.36,100,26.46,2,0.98,0.22,0.99,0.38,0.24,0.31,0.71,natural,waste,0.4592473750242272,21,high-toxicity,none,0.07,0
0,8,7,wastefuls,12.19,100,29.17,2,1,0.34,0.82,0.28,0.21,0.48,0.9,natural,recycled,0.010824097813370126,39,high-toxicity,none,0.56,0
0,8,9,wastefuls,12.56,100,21.88,1,1,0.17,0.94,0.31,0.44,0.28,0.97,natural,recycled,0.007774483173721092,26,high-toxicity,none,0.19,0
0,8,4,recyclers,13.19,100,17,2.57,0.82,0.71,0.44,1,0.91,0.85,0.67,natural,waste,low,16,low-toxicity,mixed,0.07,0
0,8,2,recyclers,17.85,100,13,2.71,0.97,0.82,0.5,0.66,0.68,0.91,0.93,industrial,waste,low,5,low-toxicity,mixed,0.43,0
0,8,0,recyclers,17.34,100,17,3.61,0.91,0.73,0.63,0.92,0.56,1,0.99,natural,waste,low,17,low-toxicity,mixed,0.57,0
0,8,1,recyclers,9.37,90,19,1.63,0.83,0.98,0.64,0.85,0.6,1,0.78,industrial,recycled,0.32046481918978287,12,low-toxicity,mixed,1.06,0
0,8,3,recyclers,18.45,100,19,1.81,0.84,0.82,0.48,0.82,0.58,0.93,0.65,waste-zone,waste,low,7,low-toxicity,mixed,0.84,0
0,9,6,wastefuls,12.16,100,25.53,2,0.99,0.31,0.85,0.37,0.29,0.48,0.84,waste-zone,new,0.33153553454694773,23,high-toxicity,none,0.5,0
0,9,9,wastefuls,14.52,100,21.88,1,1,0.17,0.94,0.31,0.44,0.28,0.97,natural,waste,0.007774483173721092,26,high-toxicity,none,0.19,0
0,9,4,recyclers,13.11,100,17,2.57,0.82,0.71,0.44,1,0.91,0.85,0.67,natural,waste,low,16,low-toxicity,mixed,0.07,0
0,9,2,recyclers,17.73,100,13,2.71,0.97,0.82,0.5,0.66,0.68,0.91,0.93,industrial,waste,low,5,low-toxicity,mixed,0.43,0
0,9,1,recyclers,9.31,80,19,1.55,0.83,0.98,0.64,0.9,0.6,1,0.78,industrial,recycled,0.32046481918978287,12,low-toxicity,mixed,1.08,0
0,9,0,recyclers,17.16,100,17,3.61,0.91,0.73,0.63,0.92,0.56,1,0.99,natural,waste,low,17,low-toxicity,mixed,0.57,0
0,9,8,wastefuls,25.58,100,22.05,1,0.98,0.22,0.71,0.24,0.46,0.46,0.84,waste-zone,waste,high,6,high-toxicity,none,0.51,0
0,9,5,wastefuls,20.29,100,26.46,2,0.98,0.22,0.99,0.38,0.24,0.31,0.71,natural,waste,0.4592473750242272,21,high-toxicity,none,0.07,0
0,9,3,recyclers,18.39,100,19,1.81,0.84,0.82,0.48,0.82,0.58,0.93,0.65,waste-zone,waste,low,7,low-toxicity,mixed,0.84,0
0,9,7,wastefuls,14.1,100,29.17,2,1,0.34,0.82,0.28,0.21,0.48,0.9,natural,waste,0.010824097813370126,39,high-toxicity,none,0.56,0
0,10,4,recyclers,8.03,100,17,2.44,0.82,0.71,0.44,1,0.91,0.9,0.67,natural,waste,low,16,low-toxicity,mixed,0.09,0
0,10,7,wastefuls,14.01,100,29.17,2,1,0.34,0.82,0.28,0.21,0.48,0.9,natural,waste,0.010824097813370126,39,high-toxicity,none,0.56,0
0,10,1,recyclers,9.25,80,19,1.55,0.83,0.98,0.64,0.9,0.6,1,0.78,industrial,new,0.32046481918978287,12,low-toxicity,mixed,1.08,0
0,10,3,recyclers,18.34,100,19,1.81,0.84,0.82,0.48,0.82,0.58,0.93,0.65,waste-zone,waste,low,7,low-toxicity,mixed,0.84,0
0,10,2,recyclers,12.61,100,13,2.57,0.97,0.82,0.5,0.71,0.68,0.96,0.93,industrial,waste,low,5,low-toxicity,mixed,0.45,0
0,10,8,wastefuls,25.54,100,22.05,1,0.98,0.22,0.71,0.24,0.46,0.46,0.84,waste-zone,waste,high,6,high-toxicity,none,0.51,0
0,10,5,wastefuls,20.22,100,26.46,2,0.98,0.22,0.99,0.38,0.24,0.31,0.71,natural,new,0.4592473750242272,21,high-toxicity,none,0.07,0
0,10,0,recyclers,16.98,100,17,3.61,0.91,0.73,0.63,0.92,0.56,1,0.99,natural,waste,low,17,low-toxicity,mixed,0.57,0
0,10,9,wastefuls,14.47,100,21.88,1,1,0.17,0.94,0.31,0.44,0.28,0.97,natural,waste,0.007774483173721092,26,high-toxicity,none,0.19,0
0,10,6,wastefuls,12.07,100,25.53,2,0.99,0.31,0.85,0.37,0.29,0.48,0.84,waste-zone,new,0.33153553454694773,23,high-toxicity,none,0.5,0
0,11,3,recyclers,13.28,100,19,1.71,0.84,0.82,0.48,0.87,0.58,0.98,0.65,waste-zone,waste,low,7,low-toxicity,mixed,0.86,0
0,11,4,recyclers,7.94,100,17,2.44,0.82,0.71,0.44,1,0.91,0.9,0.67,natural,waste,low,16,low-toxicity,mixed,0.09,0
0,11,7,wastefuls,13.92,100,29.17,2,1,0.34,0.82,0.28,0.21,0.48,0.9,natural,waste,0.010824097813370126,39,high-toxicity,none,0.56,0
0,11,6,wastefuls,11.99,100,25.53,2,0.99,0.31,0.85,0.37,0.29,0.48,0.84,waste-zone,new,0.33153553454694773,23,high-toxicity,none,0.5,0
0,11,1,recyclers,9.19,70,19,1.47,0.83,0.98,0.64,0.95,0.6,1,0.78,industrial,new,0.32046481918978287,12,low-toxicity,mixed,1.1,0
0,11,9,wastefuls,14.42,100,21.88,1,1,0.17,0.94,0.31,0.44,0.28,0.97,natural,waste,0.007774483173721092,26,high-toxicity,none,0.19,0
0,11,5,wastefuls,24.15,100,26.46,2,0.98,0.22,0.99,0.38,0.24,0.31,0.71,natural,waste,high,21,high-toxicity,none,0.07,0
0,11,0,recyclers,16.81,100,17,3.61,0.91,0.73,0.63,0.92,0.56,1,0.99,natural,waste,low,17,low-toxicity,mixed,0.57,0
0,11,2,recyclers,12.49,100,13,2.57,0.97,0.82,0.5,0.71,0.68,0.96,0.93,industrial,waste,low,5,low-toxicity,mixed,0.45,0
0,11,8,wastefuls,22.5,100,23.15,1,1,0.22,0.71,0.24,0.46,0.46,0.84,waste-zone,new,high,11,high-toxicity,none,0.51,0
0,12,1,recyclers,13.14,70,19,1.47,0.83,0.98,0.64,0.95,0.6,1,0.78,industrial,waste,low,12,low-toxicity,mixed,1.1,0
0,12,0,recyclers,11.64,100,17,3.43,0.91,0.73,0.63,0.97,0.56,1,0.99,natural,waste,low,17,low-toxicity,mixed,0.59,0
0,12,6,wastefuls,11.91,100,25.53,2,0.99,0.31,0.85,0.37,0.29,0.48,0.84,waste-zone,new,0.33153553454694773,23,high-toxicity,none,0.5,0
0,12,9,wastefuls,14.37,100,21.88,1,1,0.17,0.94,0.31,0.44,0.28,0.97,natural,waste,0.007774483173721092,26,high-toxicity,none,0.19,0
0,12,8,wastefuls,19.45,100,24.31,1,1,0.22,0.71,0.24,0.46,0.46,0.84,waste-zone,new,high,16,high-toxicity,none,0.51,0
0,12,7,wastefuls,13.83,100,29.17,2,1,0.34,0.82,0.28,0.21,0.48,0.9,natural,waste,0.010824097813370126,39,high-toxicity,none,0.56,0
0,12,2,recyclers,7.38,100,13,2.44,0.97,0.82,0.5,0.76,0.68,1,0.93,industrial,waste,low,5,low-toxicity,mixed,0.47,0
0,12,3,recyclers,8.23,100,19,1.63,0.84,0.82,0.48,0.92,0.58,1,0.65,waste-zone,waste,low,7,low-toxicity,mixed,0.88,0
0,12,5,wastefuls,21.08,100,27.78,2,1,0.22,0.99,0.38,0.24,0.31,0.71,natural,waste,high,26,high-toxicity,none,0.07,0
0,12,4,recyclers,7.87,90,17,2.32,0.82,0.71,0.44,1,0.91,0.95,0.67,natural,waste,low,16,low-toxicity,mixed,0.11,0
0,13,3,recyclers,8.17,100,19,1.63,0.84,0.82,0.48,0.92,0.58,1,0.65,waste-zone,waste,low,7,low-toxicity,mixed,0.88,0
0,13,9,wastefuls,11.32,100,22.97,1,1,0.17,0.94,0.31,0.44,0.28,0.97,natural,waste,0.007774483173721092,31,high-toxicity,none,0.19,0
0,13,8,wastefuls,23.41,100,24.31,1,1,0.22,0.71,0.24,0.46,0.46,0.84,waste-zone,waste,high,16,high-toxicity,none,0.51,0
0,13,5,wastefuls,21.01,100,27.78,2,1,0.22,0.99,0.38,0.24,0.31,0.71,natural,waste,high,26,high-toxicity,none,0.07,0
0,13,6,wastefuls,15.82,100,25.53,2,0.99,0.31,0.85,0.37,0.29,0.48,0.84,waste-zone,waste,low,23,high-toxicity,none,0.5,0
0,13,4,recyclers,7.79,90,17,2.32,0.82,0.71,0.44,1,0.91,0.95,0.67,natural,waste,low,16,low-toxicity,mixed,0.11,0
0,13,1,recyclers,13.08,70,19,1.47,0.83,0.98,0.64,0.95,0.6,1,0.78,industrial,waste,low,12,low-toxicity,mixed,1.1,0
0,13,7,wastefuls,13.74,100,29.17,2,1,0.34,0.82,0.28,0.21,0.48,0.9,natural,waste,0.010824097813370126,39,high-toxicity,none,0.56,0
0,13,0,recyclers,11.47,100,17,3.43,0.91,0.73,0.63,0.97,0.56,1,0.99,natural,waste,low,17,low-toxicity,mixed,0.59,0
0,13,2,recyclers,7.26,100,13,2.44,0.97,0.82,0.5,0.76,0.68,1,0.93,industrial,waste,low,5,low-toxicity,mixed,0.47,0
0,14,4,recyclers,7.71,90,17,2.32,0.82,0.71,0.44,1,0.91,0.95,0.67,natural,waste,low,16,low-toxicity,mixed,0.11,0
0,14,7,wastefuls,13.65,100,29.17,2,1,0.34,0.82,0.28,0.21,0.48,0.9,natural,waste,0.010824097813370126,39,high-toxicity,none,0.56,0
0,14,1,recyclers,13.02,70,19,1.47,0.83,0.98,0.64,0.95,0.6,1,0.78,industrial,waste,low,12,low-toxicity,mixed,1.1,0
0,14,6,wastefuls,15.74,100,25.53,2,0.99,0.31,0.85,0.37,0.29,0.48,0.84,waste-zone,waste,low,23,high-toxicity,none,0.5,0
0,14,8,wastefuls,23.37,100,24.31,1,1,0.22,0.71,0.24,0.46,0.46,0.84,waste-zone,waste,high,16,high-toxicity,none,0.51,0
0,14,5,wastefuls,20.94,100,27.78,2,1,0.22,0.99,0.38,0.24,0.31,0.71,natural,waste,high,26,high-toxicity,none,0.07,0
0,14,2,recyclers,7.15,100,13,2.44,0.97,0.82,0.5,0.76,0.68,1,0.93,industrial,waste,low,5,low-toxicity,mixed,0.47,0
0,14,0,recyclers,11.3,100,17,3.43,0.91,0.73,0.63,0.97,0.56,1,0.99,natural,waste,low,17,low-toxicity,mixed,0.59,0
0,14,9,wastefuls,11.27,100,22.97,1,1,0.17,0.94,0.31,0.44,0.28,0.97,natural,waste,0.007774483173721092,31,high-toxicity,none,0.19,0
0,14,3,recyclers,8.12,100,19,1.63,0.84,0.82,0.48,0.92,0.58,1,0.65,waste-zone,waste,low,7,low-toxicity,mixed,0.88,0
0,15,0,recyclers,11.13,100,17,3.43,0.91,0.73,0.63,0.97,0.56,1,0.99,natural,waste,low,17,low-toxicity,mixed,0.59,0
0,15,5,wastefuls,20.87,100,27.78,2,1,0.22,0.99,0.38,0.24,0.31,0.71,natural,waste,high,26,high-toxicity,none,0.07,0
0,15,1,recyclers,12.96,70,19,1.47,0.83,0.98,0.64,0.95,0.6,1,0.78,industrial,waste,low,12,low-toxicity,mixed,1.1,0
0,15,6,wastefuls,15.65,100,25.53,2,0.99,0.31,0.85,0.37,0.29,0.48,0.84,waste-zone,waste,low,23,high-toxicity,none,0.5,0
0,15,4,recyclers,7.64,90,17,2.32,0.82,0.71,0.44,1,0.91,0.95,0.67,natural,waste,low,16,low-toxicity,mixed,0.11,0
0,15,7,wastefuls,10.56,100,30.63,2,1,0.34,0.82,0.28,0.21,0.48,0.9,natural,waste,0.010824097813370126,44,high-toxicity,none,0.56,0
0,15,9,wastefuls,11.23,100,22.97,1,1,0.17,0.94,0.31,0.44,0.28,0.97,natural,waste,0.007774483173721092,31,high-toxicity,none,0.19,0
0,15,3,recyclers,8.07,100,19,1.63,0.84,0.82,0.48,0.92,0.58,1,0.65,waste-zone,waste,low,7,low-toxicity,mixed,0.88,0
0,15,2,recyclers,7.04,100,13,2.44,0.97,0.82,0.5,0.76,0.68,1,0.93,industrial,waste,low,5,low-toxicity,mixed,0.47,0
0,15,8,wastefuls,23.33,100,24.31,1,1,0.22,0.71,0.24,0.46,0.46,0.84,waste-zone,waste,high,16,high-toxicity,none,0.51,0
0,16,1,recyclers,12.91,70,19,1.47,0.83,0.98,0.64,0.95,0.6,1,0.78,industrial,waste,low,12,low-toxicity,mixed,1.1,0
0,16,4,recyclers,7.56,90,17,2.32,0.82,0.71,0.44,1,0.91,0.95,0.67,natural,waste,low,16,low-toxicity,mixed,0.11,0
0,16,3,recyclers,8.02,100,19,1.63,0.84,0.82,0.48,0.92,0.58,1,0.65,waste-zone,waste,low,7,low-toxicity,mixed,0.88,0
0,16,7,wastefuls,10.47,100,30.63,2,1,0.34,0.82,0.28,0.21,0.48,0.9,natural,waste,0.010824097813370126,44,high-toxicity,none,0.56,0
0,16,8,wastefuls,23.29,100,24.31,1,1,0.22,0.71,0.24,0.46,0.46,0.84,waste-zone,waste,high,16,high-toxicity,none,0.51,0
0,16,2,recyclers,6.92,100,13,2.44,0.97,0.82,0.5,0.76,0.68,1,0.93,industrial,waste,low,5,low-toxicity,mixed,0.47,0
0,16,6,wastefuls,15.57,100,25.53,2,0.99,0.31,0.85,0.37,0.29,0.48,0.84,waste-zone,waste,low,23,high-toxicity,none,0.5,0
0,16,9,wastefuls,11.18,100,22.97,1,1,0.17,0.94,0.31,0.44,0.28,0.97,natural,waste,0.007774483173721092,31,high-toxicity,none,0.19,0
0,16,5,wastefuls,20.8,100,27.78,2,1,0.22,0.99,0.38,0.24,0.31,0.71,natural,waste,high,26,high-toxicity,none,0.07,0
