simulation_mode,ticks,pxcor,pycor,resource_type,resource_quality,pollution_level,region_type,cost_to_extract,carrying_capacity,regeneration_rate,pollution_sensitivity,last_changed,agent_present,agent_type
simulation_mode,tick,pxcor,pycor,resource_type,resource_quality,pollution_level,region_type,cost_to_extract,carrying_capacity,regeneration_rate,pollution_sensitivity,agent_present,agent_type
0,0,9,11,new,0.75,6,natural,2.29,94,1.5191,0.6,false,none
0,0,-9,-1,new,0.64,8,natural,2.47,85,0.9322,0.92,false,none
0,0,-4,6,new,0.79,12,industrial,2.68,97,0.9438,0.89,false,none
0,0,2,14,new,0.79,10,natural,1.11,86,1.6652,0.52,false,none
0,0,-12,14,new,0.99,0,industrial,2.81,90,0.82,0.79,false,none
0,0,12,8,new,0.28,12,natural,3.7,85,1.9577,0.86,false,none
0,0,-4,0,new,0.88,3,waste-zone,4.43,55,0.8705,0.86,false,none
0,0,10,-12,new,0.39,8,waste-zone,4.54,89,1.8389,0.81,false,none
0,0,8,-7,new,0.95,16,natural,2.71,99,1.2197,0.74,false,none
0,0,9,8,recycled,0.45,6,industrial,4.25,92,1.7603,0.74,false,none
0,0,0,12,new,0.35,13,industrial,3.98,52,1.6302,0.65,false,none
0,0,5,-2,new,0.31,3,industrial,1.02,64,1.8819,0.86,false,none
0,0,-3,13,new,0.57,6,waste-zone,2.13,97,1.5131,0.87,false,none
0,0,-15,4,new,0.44,16,natural,3.37,51,0.8571,0.78,false,none
0,0,13,-1,new,0.98,19,natural,1.56,62,1.6602,0.53,false,none
0,0,12,15,new,0.55,11,waste-zone,2.48,53,1.9904,0.53,false,none
0,0,4,-16,new,0.64,3,natural,3.17,84,1.2503,0.7,false,none
0,0,-16,3,new,0.29,9,natural,2.46,87,0.9084,0.54,false,none
0,0,4,14,new,0.67,6,waste-zone,3.42,73,0.613,0.98,false,none
0,0,-5,-9,new,0.9,17,waste-zone,2.86,52,1.549,0.74,false,none
0,0,-16,11,new,0.45,17,industrial,3.54,82,1.3659,1,false,none
0,0,3,-2,new,0.18,12,industrial,1.58,77,1.8911,0.94,false,none
0,0,-17,-1,new,0.72,16,industrial,1.96,55,1.0284,0.92,false,none
0,0,-12,0,new,0.07,3,waste-zone,2.98,69,1.6049,0.58,false,none
0,0,-3,17,new,0.75,13,natural,3.35,85,1.2738,0.95,false,none
0,0,-14,-6,new,0.53,4,waste-zone,1.24,84,0.8301,0.66,false,none
0,0,-7,-13,new,0.03,1,waste-zone,1.09,54,0.7723,0.55,false,none
0,0,7,2,new,0.36,15,waste-zone,2.57,68,1.9519,0.81,false,none
0,0,-2,8,new,0.98,17,natural,3.68,62,0.7131,0.93,false,none
0,0,15,-3,new,0.91,19,industrial,3.72,67,0.6161,0.61,false,none
0,0,10,-6,new,0.87,5,waste-zone,1.3,93,1.6361,0.66,false,none
0,0,12,-17,new,0.57,7,waste-zone,4.56,65,0.941,0.93,false,none
0,0,-9,17,new,0.9,14,natural,2.31,55,1.74,0.67,false,none
0,0,15,-11,new,0.72,8,natural,1.91,89,1.2871,0.85,false,none
0,0,9,12,new,0.76,12,waste-zone,3.03,58,1.1618,0.6,false,none
0,0,-5,17,new,0.3,18,waste-zone,3.13,84,0.5613,0.97,false,none
0,0,2,6,recycled,0.87,6,waste-zone,3.78,96,0.6998,0.86,false,none
0,0,-8,6,new,0.17,4,natural,1.19,74,1.3626,0.63,false,none
0,0,-16,1,new,0.25,11,waste-zone,3,63,0.8277,0.91,false,none
0,0,13,-6,new,0.51,15,natural,1.88,51,1.2256,0.76,false,none
0,0,6,8,new,0.04,13,waste-zone,4.82,80,0.5905,0.79,false,none
0,0,-3,6,new,0.28,12,industrial,4.45,92,1.0067,0.85,false,none
0,0,2,7,new,0.77,5,natural,1.05,70,1.84,0.96,false,none
0,0,-16,15,recycled,0.46,10,industrial,3.29,85,1.3014,0.68,false,none
0,0,6,-14,new,0.7,11,waste-zone,3.95,78,1.3967,0.93,false,none
0,0,-11,1,new,0.33,1,waste-zone,1.4,86,0.8585,0.55,false,none
0,0,-11,12,new,0.1,11,industrial,2.64,73,1.0939,0.81,false,none
0,0,1,10,new,0.89,6,waste-zone,4.82,78,1.8181,0.83,false,none
0,1,8,17,new,0.87,16,natural,1.86,73,1.5093,0.86,false,none
0,1,15,11,new,0.22,7,natural,4.32,70,1.1263,0.71,false,none
0,1,13,-16,recycled,0.8,14,waste-zone,2.46,73,1.7849,0.6,false,none
0,1,10,11,new,0.63,4,industrial,3.25,59,1.4419,0.93,false,none
0,1,15,-4,new,0.59,3,waste-zone,1.42,80,1.5254,0.52,false,none
0,1,12,-6,new,0.23,0,waste-zone,4.91,52,0.582,0.65,false,none
0,1,17,10,new,0.27,3,waste-zone,1.14,76,1.5019,0.9,false,none
0,1,11,-16,recycled,0.17,0,natural,2.19,51,0.7477,0.77,false,none
0,1,-4,-8,new,0.34,0,industrial,4.26,53,1.1935,0.99,false,none
0,1,14,1,new,0.56,4,waste-zone,4.27,57,0.9034,0.6,false,none
0,1,-10,-12,new,0.42,8,industrial,1.28,87,1.2578,0.95,false,none
0,1,8,-10,new,0.01,14,natural,3.89,88,1.8059,0.92,false,none
0,1,-8,11,new,0.46,11,industrial,1.92,66,1.6659,0.82,false,none
0,1,-12,1,new,0.25,9,waste-zone,2.66,68,1.2635,0.76,false,none
0,1,7,-17,new,0.89,15,waste-zone,3.16,95,1.4816,0.92,false,none
0,1,-7,12,waste,high,9,industrial,4.19,77,0.6703,0.6,false,none
0,1,-1,-6,new,0.29,9,industrial,3.2,92,1.7961,0.94,false,none
0,1,-10,0,new,0.32,8,industrial,4.01,93,1.8159,0.83,false,none
0,1,10,-5,new,0.62,2,waste-zone,1.71,74,1.0622,0.92,false,none
0,1,-13,15,new,0.18,16,natural,4.84,73,1.0563,0.66,false,none
0,1,4,-13,new,0.67,18,industrial,1.21,61,1.612,1,false,none
0,1,15,8,new,0.6,9,natural,1.49,87,1.643,0.86,false,none
0,1,-12,14,new,0.99,0,industrial,2.81,90,0.82,0.79,false,none
0,1,13,1,waste,low,12,industrial,2.98,63,0.837,0.94,false,none
0,1,8,-16,new,0.79,12,industrial,1.95,75,1.1126,0.9,false,none
0,1,14,3,new,0.61,15,industrial,4.27,65,1.0936,0.81,false,none
0,1,-4,0,new,0.88,3,waste-zone,4.43,55,0.8705,0.86,false,none
0,1,-3,10,waste,high,0,waste-zone,1.32,80,0.932,0.94,false,none
0,1,9,-6,new,0.52,10,industrial,2.54,62,1.5769,0.82,false,none
0,1,-5,13,new,0.84,13,natural,2.58,66,1.9258,0.5,false,none
0,1,-8,-3,new,0.15,2,waste-zone,3.84,95,0.8371,0.9,false,none
0,1,4,-1,recycled,0.16,4,industrial,4.34,63,1.9351,0.56,false,none
0,1,9,16,recycled,0.06,8,industrial,3.92,95,0.5267,0.61,false,none
0,1,11,-8,new,0.11,19,industrial,1.33,72,1.1568,0.89,false,none
0,1,8,-11,waste,high,9,waste-zone,2.29,70,1.5263,0.66,false,none
0,1,2,5,new,0.25,19,natural,4.73,70,1.5839,0.63,false,none
0,1,-11,14,waste,high,1,waste-zone,2.88,62,0.5542,0.56,false,none
0,1,0,-15,new,0.94,18,natural,1.9,87,1.0628,0.91,false,none
0,1,11,2,new,0.09,19,natural,3.38,63,1.5656,0.81,false,none
0,1,5,9,waste,low,11,waste-zone,3.19,69,0.8648,0.64,false,none
0,1,4,17,new,0.99,19,waste-zone,3.57,95,1.6459,0.8,false,none
0,1,-3,3,new,0.18,18,waste-zone,4.8,67,1.8353,0.83,false,none
0,1,-15,-6,new,0.95,1,industrial,3.79,81,1.9492,0.87,false,none
0,1,3,-16,new,0.91,4,industrial,3.25,76,1.7362,0.78,false,none
0,1,-14,-11,recycled,0.26,16,waste-zone,2.89,69,0.6203,0.81,false,none
0,1,-3,-4,new,0.62,0,waste-zone,2.28,85,0.9187,0.62,false,none
0,1,-2,-9,new,0.17,14,natural,3.25,74,0.6271,0.93,false,none
0,1,15,17,new,0.04,12,waste-zone,3.22,99,1.2442,0.66,false,none
0,1,11,4,new,0.86,19,industrial,1.87,50,1.3889,0.89,false,none
0,1,6,14,new,0.99,0,natural,2.68,98,0.6178,0.52,false,none
0,1,-1,2,new,0.31,16,industrial,4.97,95,1.0469,0.55,false,none
0,1,-7,15,new,0.66,2,natural,1.73,60,0.5736,0.8,false,none
0,1,1,2,new,0.22,6,natural,3.78,84,1.1238,0.66,false,none
0,1,-15,-12,new,0.41,14,industrial,1.61,59,1.6227,0.98,false,none
0,1,-14,-10,new,0.16,0,natural,4.34,95,1.7112,0.82,false,none
0,1,-7,1,waste,high,17,industrial,2.45,59,1.3062,0.99,false,none
0,1,4,-10,new,0.91,7,natural,2.58,96,0.9151,0.5,false,none
0,1,15,-11,new,0.72,8,natural,1.91,89,1.2871,0.85,false,none
0,1,-2,-3,new,0.2,19,waste-zone,2.54,75,0.7995,0.76,false,none
0,1,-12,-11,new,0.76,8,waste-zone,3.18,85,0.9577,0.7,false,none
0,1,6,-1,new,0.11,15,industrial,3.72,50,1.6813,0.84,false,none
0,1,-17,-16,recycled,0,7,waste-zone,2.92,50,0.8015,0.57,false,none
0,1,0,5,recycled,0.9,19,natural,2.39,56,0.5813,0.96,false,none
0,1,8,1,new,0.99,4,natural,1.22,95,0.7608,0.99,false,none
0,1,9,-17,waste,low,18,waste-zone,3.88,93,0.8018,0.75,false,none
0,1,5,-5,recycled,0.47,2,waste-zone,3.89,58,1.7353,0.68,false,none
0,1,-9,11,waste,low,17,industrial,1.22,79,1.5203,1,false,none
0,1,-2,-15,new,0.33,5,waste-zone,4.88,76,0.9707,0.8,false,none
0,1,14,-13,new,0.35,0,industrial,2.14,62,1.1406,0.72,false,none
0,1,-11,-13,new,0.52,19,industrial,4.99,88,0.6473,0.79,false,none
0,1,-6,-14,new,0.85,17,industrial,4.47,57,1.5341,0.66,false,none
0,1,11,8,new,0.47,0,natural,3.42,68,1.7622,0.63,false,none
0,1,-16,5,recycled,0.72,0,industrial,2.13,74,1.3009,0.51,false,none
0,1,16,-15,waste,high,4,natural,4.58,65,1.9122,0.92,false,none
0,1,4,2,new,0.42,10,waste-zone,3.88,89,0.8155,0.88,false,none
0,1,-8,-2,new,0.58,16,waste-zone,1.9,80,1.6102,1,false,none
0,1,7,13,new,0.91,0,waste-zone,2.22,53,0.6856,0.52,false,none
0,1,-1,17,new,0.2,0,industrial,3.05,68,1.3454,0.92,false,none
0,1,-10,3,recycled,0.17,2,industrial,1.2,64,1.8949,0.86,false,none
0,1,5,6,new,0.85,9,natural,2.54,81,1.1606,0.53,false,none
0,1,2,4,waste,high,0,waste-zone,3.56,63,1.4815,1,false,none
0,1,-7,3,recycled,0.79,6,waste-zone,4,98,1.1479,0.89,false,none
0,1,-5,-16,new,0.48,19,natural,2.63,71,1.7028,0.96,false,none
0,1,-6,-3,new,0.22,1,waste-zone,4,92,1.6562,0.8,false,none
0,1,-14,-15,new,0.6,7,industrial,2.44,88,1.7435,0.91,false,none
0,1,15,7,new,0.77,5,waste-zone,1.59,83,1.8133,0.51,false,none
0,1,-11,2,new,0.13,9,waste-zone,2.31,54,1.0282,0.92,false,none
0,1,13,-9,recycled,0.36,14,waste-zone,1.68,51,0.687,0.72,false,none
0,1,-11,16,new,0.59,16,natural,1.18,53,0.5241,0.69,false,none
0,1,-10,-11,new,0.95,6,industrial,1.15,75,1.2955,0.96,false,none
0,1,-15,-15,new,0.77,13,industrial,1.58,67,1.4833,0.52,false,none
0,1,-17,-15,new,0.91,16,industrial,4.38,51,0.7888,0.93,false,none
0,1,-4,11,recycled,0.46,16,natural,4.05,56,1.6528,0.9,true,wastefuls
0,1,12,0,new,0.71,13,natural,1.99,75,0.9357,0.78,false,none
0,1,-16,-14,new,0.11,19,waste-zone,1.65,66,1.4973,0.62,false,none
0,1,16,12,new,0.95,17,industrial,4.92,86,1.6333,0.96,false,none
0,1,-10,-6,new,0.95,0,natural,4.9,52,1.7985,0.72,false,none
0,1,16,6,new,0.66,3,waste-zone,3.37,67,1.9511,0.79,false,none
0,1,13,17,new,0.91,13,natural,3.04,59,1.8238,0.8,false,none
0,1,8,-17,waste,low,19,industrial,1.73,86,1.2185,0.58,false,none
0,2,-2,-15,new,0.33,5,waste-zone,4.88,76,0.9707,0.8,false,none
0,2,4,-5,new,0.47,2,natural,1.2,72,1.4786,0.74,false,none
0,2,-16,12,new,0.12,19,natural,4.56,58,1.139,0.77,false,none
0,2,-6,-3,new,0.22,1,waste-zone,4,92,1.6562,0.8,false,none
0,2,15,-7,new,0.42,9,natural,4.41,67,1.6141,0.6,false,none
0,2,-4,-13,waste,low,10,waste-zone,2.05,67,1.9879,0.96,false,none
0,2,-4,3,new,0.68,4,industrial,2.55,62,1.3766,0.77,false,none
0,2,12,-2,recycled,0.11,10,natural,4.81,85,0.8725,0.74,false,none
0,2,8,12,new,0.36,9,waste-zone,4.22,77,0.8036,0.99,false,none
0,2,-17,-12,new,0.99,15,industrial,4.01,64,0.8335,0.75,false,none
0,2,-16,17,new,0.72,9,waste-zone,2.92,55,1.4035,0.69,false,none
0,2,-7,-2,new,0.37,10,natural,2.39,85,0.8813,0.6,false,none
0,2,-13,3,new,0.74,6,industrial,4.31,99,0.5487,0.57,false,none
0,2,-15,-14,new,0.8,9,industrial,1.6,89,1.5081,1,false,none
0,2,10,-7,new,0.4,19,waste-zone,2.92,52,1.576,0.54,false,none
0,2,13,17,new,0.91,13,natural,3.04,59,1.8238,0.8,false,none
0,2,-16,16,new,0.85,3,waste-zone,3.88,60,0.7318,0.79,false,none
0,2,13,5,new,0.79,18,industrial,1.25,70,1.881,0.67,false,none
0,2,6,11,new,0.08,13,waste-zone,2.32,57,1.6358,0.54,false,none
0,2,12,-12,new,0.15,1,industrial,4.96,53,1.304,0.6,false,none
0,2,6,16,new,0.92,19,natural,2.92,83,1.18,0.79,false,none
0,2,16,12,new,0.95,17,industrial,4.92,86,1.6333,0.96,false,none
0,2,-2,7,waste,high,17,waste-zone,1.62,84,1.9794,0.6,false,none
0,2,6,-6,recycled,0.11,1,industrial,4.3,79,0.5037,0.59,false,none
0,2,6,-2,new,0.2,6,natural,4.83,64,1.1111,0.5,false,none
0,2,-13,17,recycled,0.93,9,natural,4.43,64,1.2394,0.62,false,none
0,2,-10,-14,new,0.44,8,natural,1.12,95,0.5645,0.68,false,none
0,2,-13,5,new,0.98,8,waste-zone,3.46,64,0.9284,0.89,false,none
0,2,-2,6,recycled,0.92,2,waste-zone,3.88,90,1.0607,0.64,false,none
0,2,2,9,new,0.42,4,industrial,3.54,90,0.9023,0.76,false,none
0,2,-3,3,new,0.18,18,waste-zone,4.8,67,1.8353,0.83,false,none
0,2,4,3,new,0.22,17,natural,3.93,83,1.0089,0.98,false,none
0,2,17,9,new,0.49,4,waste-zone,2.81,92,1.2926,0.56,false,none
0,2,13,-4,new,0.14,14,natural,2.22,54,0.9602,0.81,false,none
0,2,-7,12,waste,high,9,industrial,4.19,77,0.6703,0.6,false,none
0,2,-9,-11,new,0.71,16,waste-zone,1.9,86,0.9686,0.68,false,none
0,2,-17,4,new,0.04,14,waste-zone,4.54,94,0.5731,0.76,false,none
0,2,5,-14,new,0.54,18,waste-zone,4.75,90,1.5353,0.79,false,none
0,2,4,-11,new,0.89,17,industrial,4.97,92,1.7422,0.64,false,none
0,2,17,6,new,0.46,6,industrial,1,83,0.8048,0.51,false,none
0,2,2,5,new,0.25,19,natural,4.73,70,1.5839,0.63,false,none
0,2,-11,13,new,0.55,18,waste-zone,4.86,59,1.9657,0.85,false,none
0,2,-4,-4,new,0.16,9,industrial,4.46,83,1.4234,0.73,false,none
0,2,17,-5,new,0.2,13,industrial,2.05,89,0.5157,0.58,false,none
0,2,-9,11,waste,low,17,industrial,1.22,79,1.5203,1,false,none
0,2,-2,-16,new,0.77,12,natural,4.42,52,1.7999,0.62,false,none
0,2,-2,14,recycled,0.22,2,waste-zone,4.56,52,1.9822,0.66,false,none
0,2,2,8,new,0.94,10,industrial,4.42,74,0.6241,0.56,false,none
0,2,-7,1,waste,high,17,industrial,2.45,59,1.3062,0.99,false,none
0,2,0,-13,new,0.02,7,industrial,4.89,73,0.7479,0.74,false,none
0,2,17,-11,new,0.43,13,natural,4.76,68,1.4903,0.93,false,none
0,2,9,-2,new,0.91,9,natural,1.84,78,1.6583,0.54,false,none
0,2,3,9,new,0.24,2,natural,2.48,65,0.657,0.7,false,none
0,2,-17,5,new,0.21,14,natural,2.76,91,0.7717,0.68,false,none
0,2,-6,16,new,0.38,9,natural,3.37,61,1.0821,0.81,false,none
0,2,10,9,new,0.99,7,waste-zone,4.04,63,1.458,0.95,false,none
0,2,11,4,new,0.86,19,industrial,1.87,50,1.3889,0.89,false,none
0,2,-2,12,recycled,0,3,waste-zone,3.71,63,0.8176,0.51,false,none
0,2,-6,-9,new,0.35,9,industrial,3.81,93,1.7572,0.64,false,none
0,2,10,0,recycled,0.69,8,industrial,2.87,62,1.6796,0.91,false,none
0,2,12,14,new,0.07,6,natural,1.11,73,1.1754,0.57,false,none
0,2,7,-12,new,0.37,5,waste-zone,2.42,94,1.6165,0.55,false,none
0,2,-9,-9,waste,high,16,waste-zone,2.4,81,1.4491,0.53,false,none
0,2,-15,9,new,0.28,3,industrial,2.9,98,1.4496,0.63,false,none
0,2,0,-5,new,0.73,10,industrial,2.04,74,1.7536,1,false,none
0,2,8,6,recycled,0.29,0,natural,3.26,95,0.8885,0.84,false,none
0,2,-17,-6,waste,high,14,waste-zone,4.92,55,1.5687,0.77,false,none
0,2,16,15,new,0.29,10,waste-zone,4.75,83,1.8479,0.92,false,none
0,2,-3,7,new,0.66,18,natural,4.48,70,1.5243,0.85,false,none
0,2,-15,-12,new,0.41,14,industrial,1.61,59,1.6227,0.98,false,none
0,2,14,4,recycled,0.36,15,waste-zone,4.41,79,0.9324,0.74,false,none
0,2,14,-17,new,0.81,8,natural,4.88,52,0.6683,0.64,false,none
0,2,12,-7,new,0.79,6,industrial,4.32,97,0.7168,0.97,false,none
0,2,-6,11,new,0.21,1,industrial,4.89,55,1.2881,0.72,false,none
0,2,16,5,new,0.04,6,natural,4.63,76,1.4579,0.53,false,none
0,2,17,0,recycled,0.29,2,natural,2.69,88,1.3433,0.73,false,none
0,2,7,-4,new,0.15,10,waste-zone,3.4,54,1.3581,0.8,false,none
0,2,-6,-5,new,0.41,5,industrial,4.81,93,0.5032,0.82,false,none
0,2,-2,1,new,0.67,7,industrial,2.51,50,1.0081,0.79,false,none
0,2,2,12,recycled,0.86,5,industrial,2.35,60,0.6811,0.93,false,none
0,2,11,8,new,0.47,0,natural,3.42,68,1.7622,0.63,false,none
0,2,10,10,waste,low,2,natural,2.52,89,0.6557,0.95,false,none
0,2,-7,15,new,0.66,2,natural,1.73,60,0.5736,0.8,false,none
0,2,6,17,new,0.2,5,natural,4.36,87,0.9999,0.72,false,none
0,2,10,15,new,0.84,0,waste-zone,4.09,86,1.1073,0.59,false,none
0,2,11,10,new,0.66,2,natural,1.45,86,1.1359,0.78,false,none
0,2,-10,-3,new,0.92,11,waste-zone,1.19,54,1.2056,0.85,false,none
0,2,-8,-9,recycled,0.53,0,natural,3.19,96,1.801,0.58,false,none
0,2,8,14,new,0.71,18,waste-zone,1.9,98,1.7958,0.53,false,none
0,2,-9,2,new,0.27,11,industrial,1.03,99,1.3375,0.51,false,none
0,2,-8,-15,new,0.61,11,waste-zone,3.05,90,0.6624,0.72,false,none
0,2,-16,-9,new,0.04,5,industrial,4.64,99,0.6384,0.51,false,none
0,2,14,1,new,0.56,4,waste-zone,4.27,57,0.9034,0.6,false,none
0,2,1,12,new,0.01,13,natural,3.19,60,0.9134,0.66,false,none
0,2,6,13,new,0,4,industrial,3.96,56,1.5906,0.82,false,none
0,2,14,5,new,0.29,9,waste-zone,1.1,67,1.4512,0.71,false,none
0,2,15,8,new,0.6,9,natural,1.49,87,1.643,0.86,false,none
0,2,11,13,new,0.65,5,industrial,3.21,85,1.6372,0.71,false,none
0,2,-13,-12,new,0.97,4,natural,1.6,72,1.8419,0.77,false,none
0,2,-12,-9,new,0.94,16,natural,3.23,62,1.6515,0.77,false,none
0,3,-8,12,new,0.57,12,natural,1.59,82,0.7671,0.75,false,none
0,3,-16,16,new,0.85,3,waste-zone,3.88,60,0.7318,0.79,false,none
0,3,-8,10,waste,low,4,waste-zone,3.54,79,0.6549,0.57,false,none
0,3,11,17,waste,low,13,industrial,4.76,59,0.8985,0.76,false,none
0,3,-14,-3,new,0.85,12,industrial,2.06,56,1.1117,0.68,false,none
0,3,-15,12,new,0.15,16,waste-zone,1.26,86,0.8683,0.78,false,none
0,3,7,-14,new,0.67,5,waste-zone,4.67,76,1.5483,0.68,false,none
0,3,-1,15,new,0.84,2,natural,1.51,53,1.7956,0.92,false,none
0,3,-14,-10,new,0.16,0,natural,4.34,95,1.7112,0.82,false,none
0,3,-9,-5,new,0.03,11,waste-zone,3.74,66,1.6818,0.84,false,none
0,3,-2,-6,new,0.75,3,natural,4,92,1.0471,0.63,false,none
0,3,-16,-8,new,0.41,8,industrial,1.69,85,1.8461,0.86,false,none
0,3,15,10,new,0.16,9,industrial,3.15,72,1.844,0.63,false,none
0,3,-12,15,new,0.56,1,waste-zone,3.59,64,0.9042,0.57,false,none
0,3,-4,-9,new,0.05,17,industrial,3.07,54,0.7154,0.6,false,none
0,3,0,-16,new,0.86,8,industrial,2.01,60,1.3244,0.75,false,none
0,3,-8,-5,new,0.67,1,natural,3.31,95,1.8676,0.73,false,none
0,3,-5,9,new,0.29,7,waste-zone,2.12,76,0.7896,0.65,false,none
0,3,-16,-5,recycled,0.12,16,natural,4.22,68,0.5059,0.67,false,none
0,3,-7,15,new,0.66,2,natural,1.73,60,0.5736,0.8,false,none
0,3,6,-9,waste,low,17,waste-zone,4.09,98,0.9585,0.78,false,none
0,3,14,-14,waste,high,18,natural,4.3,86,0.76,0.54,false,none
0,3,-9,10,new,0.42,17,waste-zone,2.41,63,1.4377,0.72,false,none
0,3,11,2,new,0.09,19,natural,3.38,63,1.5656,0.81,false,none
0,3,3,-14,new,0.67,0,natural,2.82,71,1.7976,0.89,false,none
0,3,9,6,new,0.19,17,natural,4.54,69,1.775,0.77,false,none
0,3,-11,7,new,0.03,9,waste-zone,3.84,80,0.8435,0.57,false,none
0,3,9,7,new,0.92,17,waste-zone,1.78,92,0.5827,0.59,false,none
0,3,17,3,new,0.74,19,waste-zone,1.58,82,1.765,0.54,false,none
0,3,-1,12,waste,low,15,natural,1.14,50,1.2223,0.84,false,none
0,3,-3,7,new,0.66,18,natural,4.48,70,1.5243,0.85,false,none
0,3,16,-7,new,0.03,9,waste-zone,4.29,83,1.6404,0.98,false,none
0,3,-14,13,new,0.07,14,waste-zone,3.29,52,1.8786,0.88,false,none
0,3,-15,-3,new,0.66,12,waste-zone,1.78,76,1.0868,0.81,false,none
0,3,4,-16,new,0.64,3,natural,3.17,84,1.2503,0.7,false,none
0,3,10,-10,waste,high,9,waste-zone,3.54,55,1.3015,0.65,false,none
0,3,-11,-2,waste,high,14,natural,4.8,82,0.8405,0.82,false,none
0,3,-6,6,recycled,0.3,14,natural,4.18,96,1.4495,0.63,false,none
0,3,11,-9,new,0.66,9,natural,3.98,92,0.9147,0.91,false,none
